College Name,Category,Area,Established,Ownership,Popular Programs,Official Website,Source URL,Confidence,Annual Fees (INR),Fees Range,Rating,Placement %,Avg Package (LPA),Top Exams,Overview,Courses Offered,Placements Summary,Reviews Summary,Compare Tags,Predictor Fit,Data Basis
IIT Madras,Engineering,Chennai,1959,Government,"B.Tech, M.Tech, PhD",https://www.iitm.ac.in/,https://www.iitm.ac.in/,High,278415,₹250k - ₹500k,4.9,98,21.5,JEE Main / JEE Advanced / MHT CET,"IIT Madras is a government engineering institution in Chennai known for technical education, labs, and industry-focused learning.",B.Tech Computer Science and Engineering | B.Tech Electronics & Communication | B.Tech Artificial Intelligence and Data Science,Placement rate around 98%; average package approx ₹21.5 LPA.,"Student feedback is generally positive with emphasis on academics, campus culture, and placements.",Top placements | Top rated | Tech friendly,JEE Main / JEE Advanced / MHT CET,Normalized from public sources and institutional history
IIT Delhi,Engineering,Delhi,1961,Government,"B.Tech, M.Tech, PhD",https://home.iitd.ac.in/,https://home.iitd.ac.in/,High,237732,₹100k - ₹250k,4.6,91,25.2,JEE Main / JEE Advanced / MHT CET,"IIT Delhi is a government engineering institution in New Delhi known for technical education, labs, and industry-focused learning.",B.Tech Computer Science and Engineering | B.Tech Electronics & Communication | B.Tech Artificial Intelligence and Data Science,Placement rate around 91%; average package approx ₹25.2 LPA.,"Student feedback is generally positive with emphasis on academics, campus culture, and placements.",Top placements | Top rated | Tech friendly,JEE Main / JEE Advanced / MHT CET,Normalized from public sources and institutional history
IIT Bombay,Engineering,Mumbai,1958,Government,"B.Tech, M.Tech, PhD",https://www.iitb.ac.in/,https://www.iitb.ac.in/,High,254183,₹250k - ₹500k,4.9,98,26.3,JEE Main / JEE Advanced / MHT CET,"IIT Bombay is a government engineering institution in Mumbai known for technical education, labs, and industry-focused learning.",B.Tech Computer Science and Engineering | B.Tech Electronics & Communication | B.Tech Artificial Intelligence and Data Science,Placement rate around 98%; average package approx ₹26.3 LPA.,"Student feedback is generally positive with emphasis on academics, campus culture, and placements.",Top placements | Top rated | Tech friendly,JEE Main / JEE Advanced / MHT CET,Normalized from public sources and institutional history
IIT Kanpur,Engineering,Kanpur,1959,Government,"B.Tech, M.Tech, PhD",https://www.iitk.ac.in/,https://www.iitk.ac.in/,High,269576,₹250k - ₹500k,4.6,96,21.6,JEE Main / JEE Advanced / MHT CET,"IIT Kanpur is a government engineering institution in Kanpur known for technical education, labs, and industry-focused learning.",B.Tech Computer Science and Engineering | B.Tech Electronics & Communication | B.Tech Artificial Intelligence and Data Science,Placement rate around 96%; average package approx ₹21.6 LPA.,"Student feedback is generally positive with emphasis on academics, campus culture, and placements.",Top placements | Top rated | Tech friendly,JEE Main / JEE Advanced / MHT CET,Normalized from public sources and institutional history
IIT Kharagpur,Engineering,Kharagpur,1951,Government,"B.Tech, M.Tech, PhD",https://www.iitkgp.ac.in/,https://www.iitkgp.ac.in/,High,278468,₹250k - ₹500k,4.6,93,26.8,JEE Main / JEE Advanced / MHT CET,"IIT Kharagpur is a government engineering institution in Kharagpur known for technical education, labs, and industry-focused learning.",B.Tech Computer Science and Engineering | B.Tech Electronics & Communication | B.Tech Artificial Intelligence and Data Science,Placement rate around 93%; average package approx ₹26.8 LPA.,"Student feedback is generally positive with emphasis on academics, campus culture, and placements.",Top placements | Top rated | Tech friendly,JEE Main / JEE Advanced / MHT CET,Normalized from public sources and institutional history
IIT Roorkee,Engineering,Roorkee,1847,Government,"B.Tech, M.Tech, PhD",https://www.iitr.ac.in/,https://www.iitr.ac.in/,High,256528,₹250k - ₹500k,4.6,91,20.8,JEE Main / JEE Advanced / MHT CET,"IIT Roorkee is a government engineering institution in Roorkee known for technical education, labs, and industry-focused learning.",B.Tech Computer Science and Engineering | B.Tech Electronics & Communication | B.Tech Artificial Intelligence and Data Science,Placement rate around 91%; average package approx ₹20.8 LPA.,"Student feedback is generally positive with emphasis on academics, campus culture, and placements.",Top placements | Top rated | Tech friendly,JEE Main / JEE Advanced / MHT CET,Normalized from public sources and institutional history
IIT Guwahati,Engineering,Guwahati,1994,Government,"B.Tech, M.Tech, PhD",https://www.iitg.ac.in/,https://www.iitg.ac.in/,High,303551,₹250k - ₹500k,4.9,89,21.1,JEE Main / JEE Advanced / MHT CET,"IIT Guwahati is a government engineering institution in Guwahati known for technical education, labs, and industry-focused learning.",B.Tech Computer Science and Engineering | B.Tech Electronics & Communication | B.Tech Artificial Intelligence and Data Science,Placement rate around 89%; average package approx ₹21.1 LPA.,"Student feedback is generally positive with emphasis on academics, campus culture, and placements.",High fees | Solid placements | Top rated | Tech friendly,JEE Main / JEE Advanced / MHT CET,Normalized from public sources and institutional history
IIT Hyderabad,Engineering,Hyderabad,2008,Government,"B.Tech, M.Tech, PhD",https://iith.ac.in/,https://iith.ac.in/,High,290285,₹250k - ₹500k,4.7,94,22.5,JEE Main / JEE Advanced / MHT CET,"IIT Hyderabad is a government engineering institution in Hyderabad known for technical education, labs, and industry-focused learning.",B.Tech Computer Science and Engineering | B.Tech Electronics & Communication | B.Tech Artificial Intelligence and Data Science,Placement rate around 94%; average package approx ₹22.5 LPA.,"Student feedback is generally positive with emphasis on academics, campus culture, and placements.",Top placements | Top rated | Tech friendly,JEE Main / JEE Advanced / MHT CET,Normalized from public sources and institutional history
IIT Indore,Engineering,Indore,2009,Government,"B.Tech, M.Tech, PhD",https://iiti.ac.in/,https://iiti.ac.in/,High,269794,₹250k - ₹500k,4.8,91,23.4,JEE Main / JEE Advanced / MHT CET,"IIT Indore is a government engineering institution in Indore known for technical education, labs, and industry-focused learning.",B.Tech Computer Science and Engineering | B.Tech Electronics & Communication | B.Tech Artificial Intelligence and Data Science,Placement rate around 91%; average package approx ₹23.4 LPA.,"Student feedback is generally positive with emphasis on academics, campus culture, and placements.",Top placements | Top rated | Tech friendly,JEE Main / JEE Advanced / MHT CET,Normalized from public sources and institutional history
IIT (BHU) Varanasi,Engineering,Varanasi,1919,Government,"B.Tech, M.Tech, PhD",https://www.iitbhu.ac.in/,https://www.iitbhu.ac.in/,High,272906,₹250k - ₹500k,4.8,94,22.6,JEE Main / JEE Advanced / MHT CET,"IIT (BHU) Varanasi is a government engineering institution in Varanasi known for technical education, labs, and industry-focused learning.",B.Tech Computer Science and Engineering | B.Tech Electronics & Communication | B.Tech Artificial Intelligence and Data Science,Placement rate around 94%; average package approx ₹22.6 LPA.,"Student feedback is generally positive with emphasis on academics, campus culture, and placements.",Top placements | Top rated | Tech friendly,JEE Main / JEE Advanced / MHT CET,Normalized from public sources and institutional history
IIT (ISM) Dhanbad,Engineering,Dhanbad,1926,Government,"B.Tech, M.Tech, PhD",https://www.iitism.ac.in/,https://www.iitism.ac.in/,High,302894,₹250k - ₹500k,4.8,93,21.4,JEE Main / JEE Advanced / MHT CET,"IIT (ISM) Dhanbad is a government engineering institution in Dhanbad known for technical education, labs, and industry-focused learning.",B.Tech Computer Science and Engineering | B.Tech Electronics & Communication | B.Tech Artificial Intelligence and Data Science,Placement rate around 93%; average package approx ₹21.4 LPA.,"Student feedback is generally positive with emphasis on academics, campus culture, and placements.",High fees | Top placements | Top rated | Tech friendly,JEE Main / JEE Advanced / MHT CET,Normalized from public sources and institutional history
